Word,Frequency Rank,Zipf Frequency,Definition
anachronistic,147,2.69,(adjective) Erroneous in date; containing an anachronism; in a wrong time; not applicable to or not appropriate for the time.; (of a person) Having opinions from the past; preferring things or values of the past; behind the times; overly conservative.
anon,28,3.33,"(adverb) Straight away; at once.; Soon; in a little while. | (noun) An anonymous person, especially an author.; A work with an unknown author. | (adjective) Anonymous"
antipathy,143,2.7,"(noun) A feeling of dislike (normally towards someone, less often towards something); repugnance or distaste.; Natural contrariety or incompatibility"
antiquarian,107,2.81,"(noun) A collector or student of, or expert in, antiquities or antiques. | (adjective) Pertaining to antiquaries, or to antiquity."
apparatchik,501,1.56,(noun) A member of the Soviet apparat; a Communist bureaucrat or agent.; A blindly loyal bureaucrat.
appellation,123,2.76,"(noun) A name, title or designation.; A geographical indication for wine that describes its geographic origin."
approbation,294,2.3,"(noun) The act of approving; an assenting to the propriety of a thing with some degree of pleasure or satisfaction; approval, sanction, commendation or official recognition."
ardour,314,2.25,(noun) Great warmth of feeling; fervor; passion.; Spirit; enthusiasm; passion.
armoire,353,2.16,"(noun) A type of cupboard, cabinet, or wardrobe - originally used for storing weapons."
artifice,181,2.58,"(noun) A crafty but underhanded deception.; A trick played out as an ingenious, but artful, ruse. | (verb) To construct by means of skill or specialised art"
aspic,382,2.09,"(noun) A dish in which ingredients are set into a gelatine, jelly-like substance made from a meat stock or consommé.; An asp, a small venomous snake of Egypt. | (adjective) Aspish; relating to an asp, a small venomous snake of Egypt."
assent,60,3.03,(noun) Agreement; act of agreeing | (verb) To agree; to give approval.; To admit a thing as true.
assiduously,230,2.44,"(adverb) In an assiduous manner; diligently, industriously."
attaché,120,2.77,"(noun) A diplomatic officer, usually one who plays a specific role."
aught,233,2.43,"(pronoun) Anything whatsoever, any part. | (noun) Whit, the smallest part, iota.; Zero | (adverb) At all, in any degree, in any respect. | (noun) Estimation.; Of importance or consequence (in the phrase ""of aught""). | (noun) Property; possession; Duty; place; office | (verb) To own, possess; To owe, be obliged or obligated to | (adjective) Possessed of | (numeral) A numerical value equal to 8; the number occurring after seven and before nine.; Describing a group or set with eight elements."
augurs,362,2.14,"(noun) A diviner who foretells events by the behaviour of birds or other animals, or by signs derived from celestial phenomena, or unusual occurrences.; An official who interpreted omens before the start of public events. | (verb) To foretell events; to exhibit signs of future events.; To anticipate, to foretell, or to indicate a favorable or an unfavorable issue."
auspices,37,3.22,(noun) (chiefly in the plural) Patronage or protection.; An omen or a sign.
auspicious,47,3.09,(adjective) Of good omen; indicating future success.; Conducive to success.
avarice,210,2.5,(noun) Excessive or inordinate desire of gain; greed for wealth; Inordinate desire for some supposed good.
averred,447,1.84,"(verb) To assert the truth of, to affirm with confidence; to declare in a positive manner.; To prove or justify a plea."
avidity,464,1.77,(noun) Greediness; strong appetite.; Eagerness; intenseness of desire.
bagatelle,401,2.04,"1. A trifle; a thing of no importance. Rich trifles, serious bagatelles. Prior. 2. A game played on an oblong board, having, at one end, cups or arches into or through which balls are to be driven by a rod held in the hand of the player."
baleful,360,2.15,"1. Full of deadly or pernicious influence; destructive. ""Baleful enemies."" Shak. Four infernal rivers that disgorge Into the burning lake their baleful streams. Milton. 2. Full of grief or sorrow; woeful; sad. [Archaic]"
basest,414,2.0,"(adjective) Low in height; short.; Low in place or position. | (adjective) Of sound, a voice or an instrument, low in pitch or frequency."
bauble,300,2.29,(noun) A cheap showy ornament piece of jewellery; a gewgaw.; A club or sceptre carried by a jester.
bazaars,236,2.42,"(noun) A marketplace, particularly in the Middle East and South Asia, and often covered with shops and stalls.; A shop selling articles that are either exotic or eclectic."
beclouded,100000,0,(verb) To cause to become obscure or muddled.; (usually passive) To cover or surround with clouds.
bedlam,148,2.69,"(noun) A place or situation of chaotic uproar, and where confusion prevails.; An insane person; a lunatic; a madman."
bedraggled,366,2.13,"(verb) To make (something) wet and limp, especially by dragging it along the ground. | (adjective) Wet and limp; unkempt.; Decaying, decrepit or dilapidated."
befallen,245,2.4,(verb) To fall upon; fall all over; overtake; To happen.
befitted,494,1.59,(verb) To be fit for
begotten,134,2.73,p. p. of Beget.
beguiles,527,1.41,
beheld,207,2.51,imp. & p. p. of Behold.
bemused,188,2.56,
benignantly,100000,0,
besotted,274,2.34,"Made sottish, senseless, or infatuated; characterized by drunken stupidity, or by infatuation; stupefied. ""Besotted devotion."" Sir W. Scott. -- Be*sot""ted*ly, adv. -- Be*sot""ted*ness, n. Milton."
bestowing,222,2.46,
betook,545,1.28,of Betake.
biddy,253,2.39,"A name used in calling a hen or chicken. Shak.

An Irish serving woman or girl. [Colloq.]"
bilking,474,1.73,
bindlestiff,100000,0,
bleated,511,1.52,
bleating,246,2.4,"Crying as a sheep does. Then came the shepherd back with his bleating flocks from the seaside. Longfellow.

The cry of, or as of, a sheep. Chapman."
boughs,257,2.38,
bourne,26,3.35,"A stream or rivulet; a burn. My little boat can safely pass this perilous bourn. Spenser.

A bound; a boundary; a limit. Hence: Point aimed at; goal. Where the land slopes to its watery bourn. Cowper. The undiscovered country, from whose bourn No traveler returns. Shak. Sole bourn, sole wish, sole object of my song. Wordsworth. To make the doctrine . . . their intellectual bourne. Tyndall."
brogue,301,2.29,"1. A stout, coarse shoe; a brogan. Note: In the Highlands of Scotland, the ancient brogue was made of horsehide or deerskin, untanned or tenned with the hair on, gathered round the ankle with a thong. The name was afterward given to any shoe worn as a part of the Highland costume. Clouted brogues, patched brogues; also, brogues studded with nails. See under Clout, v. t. 2. A dialectic pronunciation; esp. the Irish manner of pronouncing English. Or take, Hibernis, thy still ranker brogue. Lloyd."
brooks,10,4.04,
browbeat,432,1.92,"To depress or bear down with haughty, stern looks, or with arrogant speech and dogmatic assertions; to abash or disconcert by impudent or abusive words or looks; to bully; as, to browbeat witnesses. My grandfather was not a man to be browbeaten. W. Irving."
bucolic,231,2.44,"Of or pertaining to the life and occupation of a shepherd; pastoral; rustic.

A pastoral poem, representing rural affairs, and the life, manners, and occupation of shepherds; as, the Bucolics of Theocritus and Virgil. Dryden."
buffeted,302,2.29,
bullock,23,3.41,(noun) A young bull.; A castrated bull; an ox. | (verb) To bully.
bunting,58,3.04,"(noun) Strips of material used as festive decoration, especially in the colours of the national flag.; A thin cloth of woven wool from which flags are made; it is light enough to spread in a gentle wind but resistant to fraying in a strong wind. | (noun) Any of various songbirds, mostly of the genus Emberiza, having short bills and brown or gray plumage. | (noun) A warm, hooded infant garment, as outerwear or sleepwear, similar to a sleeper or sleepsack; especially as baby bunting or bunting bag. | (verb) To push with the horns; to butt.; To spring or rear up. | (noun) A pushing action.; A strong timber; a stout prop."
burnish,402,2.04,"(noun) Polish; lustre. | (verb) To make smooth or shiny by rubbing; to polish; to shine.; To shine forth; to brighten; to become smooth and glossy, as from swelling or filling out; hence, to grow large."
burnished,189,2.56,"(verb) To make smooth or shiny by rubbing; to polish; to shine.; To shine forth; to brighten; to become smooth and glossy, as from swelling or filling out; hence, to grow large. | (adjective) Polished, made shiny by rubbing (especially with a burnisher).; Blazing, bright."
busby,151,2.68,"(noun) A fur hat, usually with a plume in the front, worn by certain members of the military or brass bands."
cabriolet,269,2.36,"(noun) An automobile with a retractable top.; A light two- or four-wheeled carriage with a folding top, pulled by a single horse."
cachet,241,2.41,"(noun) A seal, as of a letter.; A special characteristic or quality; prestige. | (verb) To mark (an envelope) with a commemorative stamped design or inscription."
calamities,152,2.68,(noun) An event resulting in great loss.; The distress that results from some disaster.
callow,223,2.46,"(noun) A callow young bird.; A callow or teneral phase of an insect or other arthropod, typically shortly after ecdysis, while the skin still is hardening, the colours have not yet become stable, and as a rule, before the animal is able to move effectively. | (adjective) Unfledged (of a young bird).; (by extension) Immature, lacking in life experience."
cantankerous,275,2.34,"(adjective) Given to or marked by an ill-tempered nature; ill-tempered, cranky, surly, crabby."
canted,392,2.06,(verb) To speak with the jargon of a class or subgroup.; To speak in set phrases. | (verb) To set (something) at an angle.; To give a sudden turn or new direction to. | (verb) To divide or parcel out. | (adjective) Having angles.; Inclined at an angle to something else; sloping.
capacious,337,2.2,(adjective) Having a lot of space inside; roomy.
caprice,89,2.86,"(noun) An impulsive, seemingly unmotivated action, change of mind, or notion.; An unpredictable or sudden condition, change, or series of changes."
caprices,397,2.05,"(noun) An impulsive, seemingly unmotivated action, change of mind, or notion.; An unpredictable or sudden condition, change, or series of changes."
careering,454,1.81,"(verb) To move rapidly straight ahead, especially in an uncontrolled way. | (noun) Rapid, uncontrollable headlong motion."
carillon,308,2.27,"(noun) A set of bells, often in a bell tower, sometimes operated by means of a keyboard (manual or pedal), originating from the Low Countries.; A tune adapted to be played by musical bells."
carpetbagger,419,1.99,"(noun) (history) An immigrant from the Northern to the Southern States after the American Civil War of 1861–5, especially one who went South to gain political influence.; (by extension) One who comes to a place or organisation with which they have no previous connection with the sole or primary aim of personal gain, especially political or financial gain."
carpetbagging,534,1.32,"(verb) To come to a place or organisation with which one has no previous connection with the sole or primary aim of personal gain, especially political or financial gain."
carriage trade,13,3.83,
carrion,140,2.71,(noun) Dead flesh; carcasses.; A contemptible or worthless person.
caustic,68,2.97,"(noun) Any substance or means which, applied to animal or other organic tissue, burns, corrodes, or destroys it by chemical action; an escharotic.; The envelope of reflected or refracted rays of light for a given surface or object. | (adjective) Capable of burning, corroding or destroying organic tissue.; (of language, etc.) Sharp, bitter, cutting, biting, and sarcastic in a scathing way."
cavorted,530,1.36,"(verb) (originally intransitive) To prance, said of mounts; To move about carelessly, playfully or boisterously."
centurion,55,3.05,"(noun) An officer of the ancient Roman army, in command of a century of soldiers.; A player who scores a century."
chaise,160,2.64,"(noun) An open, horse-drawn carriage for one or two people, usually with one horse and two wheels.; A chaise longue."
chantey,560,1.11,"(noun) A roughly-built hut or cabin.; A rudimentary or improvised dwelling, especially one not legally owned. | (noun) A song a sailor sings, especially in rhythm to his work."
charnel,398,2.05,"(noun) A chapel attached to a mortuary.; A repository for dead bodies. | (adjective) Of or relating to a charnel, deathlike, sepulchral."
chastened,309,2.27,"(verb) To punish (in order to bring about improvement in behavior, attitude, etc.); to restrain, moderate.; To make chaste; to purify. | (adjective) Made chaste; purified; modest.; Chastised."
chastening,428,1.95,"(verb) To punish (in order to bring about improvement in behavior, attitude, etc.); to restrain, moderate.; To make chaste; to purify. | (noun) The act by which somebody is chastened."
chi-chi,15,3.65,
chimerical,481,1.71,(adjective) Of or pertaining to a chimera.; Being a figment of the imagination; fantastic (in the archaic sense).
circumspectly,540,1.29,In a circumspect manner; cautiously; warily.
clemency,69,2.97,"(noun) The gentle or kind exercise of power; leniency, mercy; compassion in judging or punishing.; A pardon, commutation, or similar reduction, removal, or postponement of legal penalties by an executive officer of a state."
cloisters,221,2.47,"(noun) A covered walk with an open colonnade on one side, running along the walls of buildings that face a quadrangle; especially:; A place, especially a monastery or convent, devoted to religious seclusion. | (verb) To become a Roman Catholic religious.; To confine in a cloister, voluntarily or not."
cloy,514,1.48,"(verb) To fill up or choke up; to stop up.; To clog, to glut, or satisfy, as the appetite; to satiate."
cobby,420,1.99,(adjective) Stocky; Stout; hearty; lively
coiffure,409,2.01,(noun) Hairstyle | (verb) To style or arrange hair
commingling,455,1.81,"(verb) To mix, to blend.; To become mixed or blended. | (noun) A mixing or mixture."
commiserate,329,2.21,"(adjective) Commiserating, pitying, lamentful | (verb) To feel or express compassion or sympathy for (someone or something).; (as the phrasal verb commiserate with) To sympathize; condole."
complected,517,1.46,(verb) To join by weaving.; To embrace. | (adjective) (in combination) Having a specified complexion; complexioned.
concupiscence,484,1.7,"(noun) An ardent desire, especially sexual desire; lust."
concupiscent,553,1.22,Having sexual lust; libidinous; lustful; lecherous; salacious. Johnson.
constables,70,2.97,
consternation,108,2.81,"Amazement or horror that confounds the faculties, and incapacitates for refletion; terror, combined with amaxement; dismay. The chiefs around, In silence wrapped, in onsternation downed. Attend the stern reply. Pope. Syn. -- Alarm; fright; amazement; astonishment; surprise; panic; returbation. See Alarm."
constitutionals,100000,0,(noun) A walk that is taken regularly for good health and wellbeing.
contentment,56,3.05,(noun) The state or degree of being contented or satisfied.; Happiness in one's situation; satisfaction
convalescence,258,2.38,(noun) A gradual healing after illness or injury.; The period of time spent healing.
corporeal,164,2.63,(adjective) Material; tangible; physical.; Pertaining to the body; bodily; corporal.
corporeally,556,1.15,In the body; in a bodily form or manner.
coterie,215,2.49,"(noun) A circle of people who associate with one another.; An exclusive group of people, who associate closely for a common purpose."
countenance,79,2.91,"1. Appearance or expression of the face; look; aspect; mien. So spake the Son, and into terror changed His countenance. Milton. 2. The face; the features. In countenance somewhat doth resemble you. Shak. 3. Approving or encouraging aspect of face; hence, favor, good will, support; aid; encouragement. Thou hast made him . . . glad with thy countenance. Ps. xxi. 6. This is the magistrate's peculiar province, to give countenance to piety and virtue, and to rebuke vice. Atterbury. 4. Superficial appearance; show; pretense. [Obs.] The election being done, he made countenance of great discontent thereat. Ascham. In countenance, in an assured condition or aspect; free from shame or dismay. ""It puts the learned in countenance, and gives them a place among the fashionable part of mankind."" Addison. -- Out of countenance, not bold or assured; confounded; abashed. ""Their best friends were out of countenance, because they found that the imputations . . . were well grounded."" Clarendon. -- To keep the countenance, to preserve a composed or natural look, undisturbed by passion or emotion. Swift.

1. To encourage; to favor; to approve; to aid; to abet. This conceit, though countenanced by learned men, is not made out either by experience or reason. Sir T. Browne. Error supports custom, custom countenances error. Milton. 2. To make a show of; to pretend. [Obs.] Which to these ladies love did countenance. Spenser."
countenanced,462,1.78,
courtesans,282,2.32,
coyly,386,2.08,In a coy manner; with reserve.
creel,254,2.39,"1. An osier basket, such as anglers use. Sir W. Scott. 2. (Spinning)  A bar or set of bars with skewers for holding paying-off bobbins, as in the roving machine, throstle, and mule."
crestfallen,354,2.16,"1. With hanging head; hence, dispirited; dejected; cowed. Let it make thee crestfullen; Ay, and allay this thy abortive pride. Shak. 2. Having the crest, or upper part of the neck, hanging to one side; -- said of a horse."
cri,121,2.77,
crucible,35,3.23,"1. A vessel or melting pot, composed of some very refractory substance, as clay, graphite, platinum, and used for melting and calcining substances which require a strong degree of heat, as metals, ores, etc. 2. A hollow place at the bottom of a furnace, to receive the melted metal. 3. A test of the most decisive kind; a severe trial; as, the crucible of affliction. Hessian crucible (Chem.), a cheap, brittle, and fragile, but very refractory crucible, composed of the finest fire clay and sand, and commonly used for a single heating; -- named from the place of manufacture."
cum,11,4.04,
daemon,109,2.81,"See Demon, Demonic."
daguerreotype,375,2.1,"1. An early variety of photograph, produced on a silver plate, or copper plate covered with silver, and rendered sensitive by the action of iodine, or iodine and bromine, on which, after exposure in the camera, the latent image is developed by the vapor of mercury. 2. The process of taking such pictures.

1. To produce or represent by the daguerreotype process, as a picture. 2. To impress with great distinctness; to imprint; to imitate exactly."
davenport,27,3.35,"A kind of small writing table, generally somewhat ornamental, and forming a piece of furniture for the parlor or boudoir. A much battered davenport in one of the windows, at which sat a lady writing. A. B. Edwards."
deft,86,2.87,"Apt; fit; dexterous; clever; handy; spruce; neat. [Archaic or Poetic] ""The deftest way."" Shak. ""Deftest feats."" Gay. The limping god, do deft at his new ministry. Dryden. Let me be deft and debonair. Byron."
deftly,94,2.85,"Aptly; fitly; dexterously; neatly. ""Deftly dancing."" Drayton. Thyself and office deftly show. Shak."
demagogue,218,2.48,A leader of the rabble; one who attempts to control the multitude by specious or deceitful arts; an unprincipled and factious mob orator or political leader.
demi-,25,3.37,"See Demy, n."
demotic,406,2.02,"(noun) Language as spoken or written by the common people. | (adjective) Of or for the common people.; Of, relating to, or written in the vulgar form of ancient Egyptian hieratic writing, with simplified, cursive hieroglyphs."
demurred,295,2.3,(verb) To linger; to stay; to tarry; To delay; to pause; to suspend proceedings or judgment in view of a doubt or difficulty; to hesitate; to put off the determination or conclusion of an affair.
deportment,383,2.09,(noun) Bearing; manner of presenting oneself.; Conduct; public behavior.
deposed,32,3.27,"(verb) To put down; to lay down; to deposit; to lay aside; to put away.; To remove (a leader) from (high) office, without killing the incumbent."
depredations,315,2.25,"(noun) An act of consuming agricultural resources (crops, livestock), especially as plunder.; A raid or predatory attack."
deputation;,247,2.4,"(noun) The act of deputing, or of appointing or commissioning a deputy or representative; office of a deputy or delegate; vicegerency.; The person or persons deputed or commissioned by another person, party, or public body to act in his or its behalf; a delegation."
deviltry,549,1.25,(noun) Devilry.
devolved,45,3.13,"(verb) To roll (something) down; to unroll.; To be inherited by someone else; to pass down upon the next person in a succession, especially through failure or loss of an earlier holder."
diffidence,450,1.83,"(noun) The state of being diffident, timid or shy; reticence or self-effacement.; Mistrust, distrust, lack of confidence in someone or something."
diffident,376,2.1,(adjective) Lacking confidence in others; distrustful.; Lacking self-confidence; timid; modest
dilatory,451,1.83,"(adjective) Relating to dilation; dilative | (adjective) Intentionally delaying (someone or something), intended to cause delay, gain time, or defer decision.; Slow or tardy."
dilettantish,100000,0,Dilettanteish.
diligence,19,3.51,"(noun) Steady application; industry; careful work involving long-term effort.; The qualities of a hard worker, including conscientiousness, determination, and perseverance."
din,17,3.56,"(noun) A loud noise; a cacophony or loud commotion. | (verb) To make a din, to resound.; (of a place) To be filled with sound, to resound."
dirge!,259,2.38,"(noun) A mournful poem or piece of music composed or performed as a memorial to a dead person.; A song or piece of music that is considered too slow, bland or boring. | (verb) To sing dirges"
dirge.,260,2.38,"(noun) A mournful poem or piece of music composed or performed as a memorial to a dead person.; A song or piece of music that is considered too slow, bland or boring. | (verb) To sing dirges"
discompose,100000,0,"(verb) To destroy the composure of; to disturb or agitate.; To disarrange, or throw into a state of disorder."
disgorged,485,1.7,"(verb) To vomit or spew, to discharge.; To surrender (stolen goods or money, for example) unwillingly."
disported,100000,0,"(verb) To amuse oneself divertingly or playfully; in particular, to cavort or gambol."
disporting,100000,0,"(verb) To amuse oneself divertingly or playfully; in particular, to cavort or gambol. | (noun) The act of one who disports."
disquiet,211,2.5,"(noun) Lack of quiet; absence of tranquility in body or mind | (verb) To make (someone or something) worried or anxious. | (adjective) Deprived of quiet; impatient, restless, uneasy."
disquieted,506,1.53,(verb) To make (someone or something) worried or anxious.
disquisition,492,1.63,"(noun) A methodical inquiry or investigation.; A lengthy, formal discourse that analyses or explains some topic; a dissertation or treatise."
disquisitions,535,1.32,"(noun) A methodical inquiry or investigation.; A lengthy, formal discourse that analyses or explains some topic; a dissertation or treatise."
disrepute.,199,2.53,(noun) Loss or want of reputation; ill character. | (verb) To bring into disrepute; to hold in dishonor.
dissembled,516,1.47,(verb) To disguise or conceal something.; To feign.
dissension,191,2.55,"(noun) An act of expressing dissent, especially spoken.; Strong disagreement; a contention or quarrel; discord."
dissipation,110,2.81,"(noun) The act of dissipating or dispersing; a state of dispersion or separation; dispersion; waste.; A dissolute course of life, in which health, money, etc., are squandered in pursuit of pleasure; profuseness in immoral indulgence, as late hours, riotous living, etc.; dissoluteness."
dissolute,283,2.32,(adjective) Unrestrained by morality.; Recklessly abandoned to sensual pleasures.
distemper,270,2.36,"(noun) A viral disease of animals, such as dogs and cats, characterised by fever, coughing and catarrh.; A disorder of the humours of the body; a disease. | (verb) To temper or mix unduly; to make disproportionate; to change the due proportions of.; To derange the functions of, whether bodily, mental, or spiritual; to disorder; to disease."
distended,284,2.32,"(verb) To extend or expand, as from internal pressure; to swell; To extend; to stretch out; to spread out. | (adjective) Extended or expanded, as from internal pressure; swollen.; Gravid."
divan,200,2.53,"(noun) A Muslim council of state, specifically that of viziers of the Ottoman Empire that discussed and recommended new laws and law changes to a higher authority (the sultan).; The council chamber where this court is held; (by extension), any court of justice."
docile;,76,2.93,"(adjective) Ready to accept instruction or direction; obedient; subservient.; Yielding to control or supervision, direction, or management."
doffed,520,1.44,"(verb) (clothing) To remove or take off, especially of clothing.; To remove or tip a hat, as in greeting, salutation or as a mark of respect."
dogged,71,2.97,(verb) To pursue with the intent to catch.; To follow in an annoying or harassing way.
doggedly,261,2.38,"(adverb) In a way that is stubbornly persistent.; Sullenly, gloomily"
dolefully,541,1.29,
doltish,539,1.3,(adjective) Like a dolt; dull in intellect; stupid.
dotage,429,1.95,"(noun) Decline in judgment and other cognitive functions, associated with aging; senility.; Fondness or attentiveness, especially to an excessive degree."
doubletrees,100000,0,"(noun) A device that connects two horses to a wagon or other implement. The tugs of a harness are connected to a singletree, two of which are connected to a doubletree, which, in turn, is connected to the implement."
dour,192,2.55,"(adjective) Stern, harsh and forbidding.; Unyielding and obstinate."
dowdy,242,2.41,(noun) A plain or shabby person | (adjective) Plain and unfashionable in style or dress.; Lacking stylishness or neatness; shabby.
doyenne,489,1.68,"(noun) A female doyen.; The senior or eldest female member of a group, especially one who is most or highly respected."
duly,22,3.44,"In a due, fit, or becoming manner; as it (anything) ought to be; properly; regularly."
dyspeptic,471,1.74,"Pertaining to dyspepsia; having dyspepsia; as, a dyspeptic or dyspeptical symptom.

A person afflicted with dyspepsia."
ebullient,349,2.17,"Boiling up or over; hence, manifesting exhilaration or excitement, as of feeling; effervescing. ""Ebullient with subtlety."" De Quincey. The ebullient enthusiasm of the French. Carlyle."
effacing,305,2.28,
effeminacy,482,1.71,"Characteristic quality of a woman, such as softness, luxuriousness, delicacy, or weakness, which is unbecoming a man; womanish delicacy or softness; -- used reproachfully of men. Milton."
effete,377,2.1,"No longer capable of producing young, as an animal, or fruit, as the earth; hence, worn out with age; exhausted of energy; incapable of efficient action; no longer productive; barren; sterile. Effete results from virile efforts. Mrs. Browning If they find the old governments effete, worn out, . . . they may seek new ones. Burke."
effigy,111,2.81,"The image, likeness, or representation of a person, whether a full figure, or a part; an imitative figure; -- commonly applied to sculptured likenesses, as those on monuments, or to those of the heads of princes on coins and medals, sometimes applied to portraits. To burn, or To hang, in effigy, to burn or to hang an image or picture of a person, as a token of public odium."
effusively,458,1.8,
elucidate,144,2.7,"To make clear or manifest; to render more intelligible; to illustrate; as, an example will elucidate the subject."
embosomed,100000,0,
embowered,100000,0,
encomiums,547,1.26,
enmities,435,1.91,
enmity,62,3.01,"1. The quality of being an enemy; hostile or unfriendly disposition. No ground of enmity between us known. Milton. 2. A state of opposition; hostility. The friendship of the world is enmity with God. James iv. 4. Syn. -- Rancor; hostility; hatred; aversion; antipathy; repugnance; animosity; ill will; malice; malevolence. See Animosity, Rancor."
ennui,243,2.41,"A feeling of weariness and disgust; dullness and languor of spirits, arising from satiety or want of interest; tedium. T. Gray."
enounced,100000,0,
"entrained,",399,2.05,
entreat,285,2.32,"1. To treat, or conduct toward; to deal with; to use. [Obs.] Fairly let her be entreated. Shak. I will cause the enemy to entreat thee well. Jer. xv. 11. 2. To treat with, or in respect to, a thing desired; hence, to ask earnestly; to beseech; to petition or pray with urgency; to supplicate; to importune. ""Entreat my wife to come."" ""I do entreat your patience."" Shak. I must entreat of you some of that money. Shak. Some late visitor entreating entrance at my chamber door. Poe. Isaac entreated the Lord for his wife. Gen. xxv. 21. 3. To beseech or supplicate successfully; to prevail upon by prayer or solicitation; to persuade. It were a fruitless attempt to appease a power whom no prayers could entreat. Rogers. 4. To invite; to entertain. [Obs.] ""Pleasures to entreat."" Spenser. Syn. -- To beseech; beg; solicit; crave; implore; supplicate. See Beseech.

1. To treat or discourse; hence, to enter into negotiations, as for a treaty. [Obs.] Of which I shall have further occasion to entreat. Hakewill. Alexander . . . was first that entreated of true peace with them. 1 Mac. x. 47. 2. To make an earnest petition or request. The Janizaries entreated for them as valiant men. Knolles.

Entreaty. [Obs.] Ford."
entreaties,322,2.23,
environs,80,2.91,"The parts or places which surround another place, or lie in its neighborhood; suburbs; as, the environs of a city or town. Chesterfield."
